id_indicador,nombre_del_indicador,unidad_de_medida,tipo_geografico,id_de_union_geografico,nombre_del_barrio,fecha_inicial,valor_del_dato,año,descripcion_temporal
365,Fine particles (PM 2.5),mcg/m3,UHF42,303.0,East Harlem,01/01/2021,6.8,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,12/01/2020,7.1,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,UHF42,303.0,East Harlem,06/01/2021,8.7,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,305.0,Upper East Side,01/01/2021,20.3,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,01/01/2021,17.1,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,203.0,Bedford Stuyvesant - Crown Heights,12/01/2021,6.9,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,12/01/2020,22.8,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,06/01/2022,6.9,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,12/01/2021,7.4,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,06/01/2021,9.1,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,01/01/2021,18.8,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,302.0,Central Harlem - Morningside Heights,01/01/2018,7.5,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),01/01/2021,16.4,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),01/01/2018,6.5,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),12/01/2019,20.3,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),06/01/2019,12.7,2019.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),01/01/2021,6.5,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),12/01/2021,10.1,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,302.0,Central Harlem - Morningside Heights,01/01/2018,21.7,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,403.0,Jackson Heights (CD3),12/01/2018,23.3,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,CD,303.0,Bedford Stuyvesant (CD3),01/01/2021,17.9,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,303.0,Bedford Stuyvesant (CD3),01/01/2018,20.0,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,303.0,Bedford Stuyvesant (CD3),06/01/2021,13.1,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,303.0,Bedford Stuyvesant (CD3),12/01/2020,23.4,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,01/01/2019,23.6,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,01/01/2022,20.5,2022.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,01/01/2020,6.7,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,01/01/2018,19.4,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,06/01/2021,11.9,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),12/01/2021,8.3,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,12/01/2020,23.1,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,UHF42,303.0,East Harlem,12/01/2020,22.0,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),12/01/2018,18.6,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),01/01/2020,13.5,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),01/01/2021,14.2,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),01/01/2018,16.1,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),06/01/2020,8.9,2020.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,308.0,Greenwich Village - SoHo,12/01/2020,8.4,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),01/01/2018,7.9,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,103.0,Lower East Side and Chinatown (CD3),06/01/2021,9.6,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,307.0,Gramercy Park - Murray Hill,06/01/2019,24.8,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,308.0,Greenwich Village - SoHo,12/01/2019,31.6,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,CD,403.0,Jackson Heights (CD3),06/01/2022,11.5,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,308.0,Greenwich Village - SoHo,01/01/2021,8.2,2021.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,06/01/2019,11.1,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,307.0,Gramercy Park - Murray Hill,01/01/2020,24.3,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,402.0,Woodside and Sunnyside (CD2),01/01/2020,19.2,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,105.0,Midtown (CD5),12/01/2018,31.5,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,12/01/2018,24.8,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),01/01/2021,18.1,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,01/01/2019,20.0,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),12/01/2020,21.3,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,CD,411.0,Bayside and Little Neck (CD11),01/01/2019,14.5,2019.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,109.0,Morningside Heights and Hamilton Heights (CD9),01/01/2018,7.5,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,111.0,East Harlem (CD11),01/01/2018,7.4,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,111.0,East Harlem (CD11),12/01/2021,7.0,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),06/01/2021,8.4,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),01/01/2019,19.2,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),01/01/2018,21.5,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,111.0,East Harlem (CD11),01/01/2018,20.9,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,111.0,East Harlem (CD11),12/01/2021,21.6,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),12/01/2019,32.1,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),06/01/2019,23.1,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),12/01/2019,32.6,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,UHF34,203.0,Bedford Stuyvesant - Crown Heights,01/01/2021,17.1,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,102.0,Greenwich Village and Soho (CD2),12/01/2021,24.4,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),01/01/2018,21.1,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),12/01/2021,23.5,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),01/01/2021,18.8,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,108.0,Upper East Side (CD8),12/01/2020,24.1,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,CD,112.0,Washington Heights and Inwood (CD12),12/01/2020,20.2,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,205.0,Fordham and University Heights (CD5),06/01/2021,8.7,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),12/01/2018,6.9,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),01/01/2020,6.0,2020.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),01/01/2019,6.2,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),06/01/2022,13.3,2022.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,111.0,East Harlem (CD11),01/01/2019,19.4,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,01/01/2022,18.2,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,207.0,Kingsbridge Heights and Bedford (CD7),12/01/2021,21.4,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),12/01/2020,6.7,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,111.0,East Harlem (CD11),01/01/2022,6.2,2022.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),01/01/2022,5.7,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,111.0,East Harlem (CD11),01/01/2022,16.7,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),01/01/2022,16.8,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),01/01/2021,17.0,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),12/01/2020,23.1,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),12/01/2019,7.6,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,411.0,Bayside and Little Neck (CD11),06/01/2019,7.3,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),06/01/2021,11.6,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),12/01/2021,21.3,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,109.0,Morningside Heights and Hamilton Heights (CD9),12/01/2021,21.3,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,UHF42,203.0,Bedford Stuyvesant - Crown Heights,01/01/2019,6.6,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),12/01/2019,28.0,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),12/01/2018,28.3,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),01/01/2020,22.7,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),01/01/2020,22.5,2020.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2021,17.5,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,12/01/2019,28.6,2019.0,Winter -20
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,06/01/2019,18.0,2019.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,302.0,Central Harlem - Morningside Heights,01/01/2021,6.8,2021.0,Annual Average
643,Annual vehicle miles traveled,per square mile,CD,105.0,Midtown (CD5),01/01/2019,94.8,2019.0,
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,06/01/2022,13.4,2022.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,309.0,Union Square - Lower East Side,01/01/2019,21.6,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,107.0,Upper West Side (CD7),01/01/2021,19.2,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),06/01/2018,16.6,2018.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,309.0,Union Square - Lower East Side,12/01/2020,24.1,2020.0,Winter -21
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),12/01/2018,24.7,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),01/01/2020,7.0,2020.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),12/01/2018,9.1,2018.0,Winter -19
375,Nitrogen dioxide (NO2),ppb,UHF42,305.0,Upper East Side,01/01/2019,22.1,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,305.0,Upper East Side,01/01/2022,18.8,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,01/01/2019,17.7,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),12/01/2021,25.5,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),12/01/2021,25.4,2021.0,Winter -22
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2018,19.9,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),06/01/2021,12.3,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,302.0,Fort Greene and Brooklyn Heights (CD2),06/01/2022,14.2,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,304.0,Upper West Side,01/01/2022,6.1,2022.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,107.0,Upper West Side (CD7),01/01/2018,8.2,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,304.0,Upper West Side,12/01/2019,28.1,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,01/01/2020,6.7,2020.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),06/01/2022,8.7,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,12/01/2019,8.6,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),01/01/2022,9.1,2022.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),01/01/2019,11.5,2019.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,205.0,Fordham and University Heights (CD5),01/01/2021,6.8,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),01/01/2019,18.2,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,202.0,Downtown - Heights - Slope,06/01/2020,13.0,2020.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,01/01/2022,16.2,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),06/01/2020,17.8,2020.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),01/01/2019,24.6,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,104.0,Clinton and Chelsea (CD4),01/01/2022,21.4,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),01/01/2019,24.5,2019.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,302.0,Central Harlem - Morningside Heights,12/01/2019,7.6,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,205.0,Fordham and University Heights (CD5),12/01/2020,6.7,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),12/01/2019,12.6,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),06/01/2019,12.5,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),01/01/2018,20.5,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2018,7.3,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),12/01/2021,7.1,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),06/01/2021,8.6,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),01/01/2018,9.5,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,205.0,Fordham and University Heights (CD5),06/01/2021,14.3,2021.0,Summer
386,Ozone (O3),ppb,UHF42,302.0,Central Harlem - Morningside Heights,06/01/2019,27.1,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,105.0,Midtown (CD5),01/01/2020,26.3,2020.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,105.0,Midtown (CD5),12/01/2018,13.5,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,UHF42,309.0,Union Square - Lower East Side,01/01/2021,7.8,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,102.0,Greenwich Village and Soho (CD2),06/01/2022,16.4,2022.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,207.0,Kingsbridge Heights and Bedford (CD7),06/01/2022,12.1,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,404.0,Bayside - Little Neck,06/01/2019,7.3,2019.0,Summer
643,Annual vehicle miles traveled,per square mile,CD,207.0,Kingsbridge Heights and Bedford (CD7),01/01/2019,70.5,2019.0,
365,Fine particles (PM 2.5),mcg/m3,CD,112.0,Washington Heights and Inwood (CD12),06/01/2021,8.8,2021.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,310.0,Bay Ridge and Dyker Heights (CD10),06/01/2021,8.5,2021.0,Summer
375,Nitrogen dioxide (NO2),ppb,UHF42,203.0,Bedford Stuyvesant - Crown Heights,06/01/2019,14.3,2019.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),06/01/2022,17.5,2022.0,Summer
643,Annual vehicle miles traveled,per square mile,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),01/01/2019,191.2,2019.0,
643,Annual vehicle miles traveled,per square mile,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2019,88.1,2019.0,
375,Nitrogen dioxide (NO2),ppb,CD,102.0,Greenwich Village and Soho (CD2),01/01/2019,23.4,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,102.0,Greenwich Village and Soho (CD2),01/01/2022,20.2,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,309.0,Union Square - Lower East Side,01/01/2018,22.9,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,UHF42,309.0,Union Square - Lower East Side,12/01/2021,22.8,2021.0,Winter -22
365,Fine particles (PM 2.5),mcg/m3,CD,104.0,Clinton and Chelsea (CD4),12/01/2018,10.6,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),12/01/2018,10.7,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),06/01/2022,7.7,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,302.0,Fort Greene and Brooklyn Heights (CD2),12/01/2019,8.7,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,302.0,Fort Greene and Brooklyn Heights (CD2),06/01/2019,8.6,2019.0,Summer
365,Fine particles (PM 2.5),mcg/m3,UHF42,304.0,Upper West Side,12/01/2018,8.2,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),01/01/2019,6.8,2019.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),01/01/2022,6.2,2022.0,Annual Average
643,Annual vehicle miles traveled,per square mile,UHF42,202.0,Downtown - Heights - Slope,01/01/2019,126.8,2019.0,
365,Fine particles (PM 2.5),mcg/m3,CD,205.0,Fordham and University Heights (CD5),01/01/2018,7.7,2018.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,202.0,Downtown - Heights - Slope,01/01/2019,7.4,2019.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,107.0,Upper West Side (CD7),06/01/2022,14.7,2022.0,Summer
375,Nitrogen dioxide (NO2),ppb,CD,102.0,Greenwich Village and Soho (CD2),01/01/2018,24.8,2018.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),06/01/2022,11.8,2022.0,Summer
365,Fine particles (PM 2.5),mcg/m3,CD,104.0,Clinton and Chelsea (CD4),01/01/2019,9.3,2019.0,Annual Average
365,Fine particles (PM 2.5),mcg/m3,UHF42,203.0,Bedford Stuyvesant - Crown Heights,12/01/2018,7.2,2018.0,Winter -19
365,Fine particles (PM 2.5),mcg/m3,UHF42,305.0,Upper East Side,12/01/2019,8.6,2019.0,Winter -20
365,Fine particles (PM 2.5),mcg/m3,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),12/01/2020,8.0,2020.0,Winter -21
365,Fine particles (PM 2.5),mcg/m3,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2021,6.7,2021.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),01/01/2022,21.1,2022.0,Annual Average
375,Nitrogen dioxide (NO2),ppb,CD,308.0,Crown Heights and Prospect Heights (CD8),01/01/2022,16.6,2022.0,Annual Average
